reading_id,timestamp,transformer_id,lt_section,voltage_v,current_a,power_kw,power_factor,frequency_hz,phase_imbalance_pct,status
6253,2026-08-01 01:44:12,TR-103,LT-005,240.55,5.912,1.266,0.89,50.038,0.72,NORMAL
4685,2026-08-01 01:18:04,TR-102,LT-003,225.85,6.213,1.345,0.959,50.031,2.17,NORMAL
1732,2026-08-01 00:28:51,TR-102,LT-002,228.6,10.313,2.083,0.884,50.021,3.28,NORMAL
4743,2026-08-01 01:19:02,TR-102,LT-006,230.01,10.386,2.3,0.963,49.92,1.99,NORMAL
4522,2026-08-01 01:15:21,TR-102,LT-003,234.3,6.95,1.514,0.93,49.954,1.84,NORMAL
6341,2026-08-01 01:45:40,TR-102,LT-006,226.3,10.928,2.328,0.941,50.013,0.47,NORMAL
577,2026-08-01 00:09:36,TR-103,LT-003,230.94,8.033,1.678,0.904,49.974,2.52,NORMAL
5203,2026-08-01 01:26:42,TR-101,LT-003,230.6,6.778,1.422,0.91,50.088,1.33,NORMAL
6364,2026-08-01 01:46:03,TR-102,LT-005,232.73,5.123,1.092,0.916,50.082,1.57,NORMAL
440,2026-08-01 00:07:19,TR-104,LT-003,229.78,9.021,1.986,0.958,50.023,1.99,NORMAL
2751,2026-08-01 00:45:50,TR-101,LT-005,237.02,8.651,1.891,0.922,50.013,3.4,NORMAL
7488,2026-08-01 02:04:47,TR-102,LT-003,231.84,13.748,3.037,0.953,50.066,1.69,NORMAL
5273,2026-08-01 01:27:52,TR-101,LT-006,225.2,10.683,2.27,0.944,50.08,0.89,NORMAL
5654,2026-08-01 01:34:13,TR-102,LT-001,234.51,7.539,1.652,0.935,50.114,2.44,NORMAL
4000,2026-08-01 01:06:39,TR-104,LT-006,231.44,6.107,1.271,0.9,49.99,2.18,NORMAL
6034,2026-08-01 01:40:33,TR-103,LT-004,226.44,4.567,0.976,0.943,49.885,1.06,NORMAL
583,2026-08-01 00:09:42,TR-103,LT-003,232.53,4.762,1.028,0.929,49.896,3.93,NORMAL
9931,2026-08-01 00:12:10,TR-103,LT-006,100.86,0.01,0.0,0.423,50.038,29.91,POSSIBLE_BROKEN_LT
7052,2026-08-01 01:57:31,TR-101,LT-003,231.6,9.856,2.082,0.912,49.872,3.12,NORMAL
8159,2026-08-01 00:02:38,TR-103,LT-002,179.23,12.056,1.781,0.824,50.005,12.65,WARNING
9897,2026-08-01 00:11:36,TR-103,LT-001,95.14,0.506,0.024,0.491,49.958,31.29,POSSIBLE_BROKEN_LT
2250,2026-08-01 00:37:29,TR-103,LT-006,233.69,8.012,1.736,0.927,49.969,2.55,NORMAL
4641,2026-08-01 01:17:20,TR-102,LT-001,233.26,5.1,1.073,0.902,50.03,2.58,NORMAL
9486,2026-08-01 00:04:45,TR-104,LT-001,84.25,0.395,0.006,0.174,50.009,32.31,POSSIBLE_BROKEN_LT
4948,2026-08-01 01:22:27,TR-102,LT-002,224.66,6.052,1.271,0.935,50.091,1.0,NORMAL
9921,2026-08-01 00:12:00,TR-104,LT-006,64.17,0.788,0.026,0.505,50.101,16.57,POSSIBLE_BROKEN_LT
1964,2026-08-01 00:32:43,TR-101,LT-003,232.58,7.531,1.677,0.957,49.939,2.66,NORMAL
8244,2026-08-01 00:04:03,TR-104,LT-002,178.86,5.946,0.984,0.925,50.051,16.31,WARNING
6591,2026-08-01 01:49:50,TR-102,LT-001,229.14,5.329,1.144,0.937,50.166,1.22,NORMAL
8848,2026-08-01 00:14:07,TR-102,LT-006,181.79,10.179,1.583,0.856,50.13,11.84,WARNING
322,2026-08-01 00:05:21,TR-102,LT-004,232.38,5.352,1.13,0.909,50.063,2.72,NORMAL
2679,2026-08-01 00:44:38,TR-101,LT-002,230.38,6.94,1.491,0.932,50.091,1.57,NORMAL
4626,2026-08-01 01:17:05,TR-104,LT-003,235.05,8.858,1.979,0.95,50.077,2.5,NORMAL
4950,2026-08-01 01:22:29,TR-101,LT-006,231.74,8.463,1.912,0.975,49.979,3.47,NORMAL
8329,2026-08-01 00:05:28,TR-102,LT-003,216.52,15.592,2.441,0.723,49.963,14.13,WARNING
3338,2026-08-01 00:55:37,TR-103,LT-006,229.4,6.551,1.448,0.964,50.025,1.26,NORMAL
5590,2026-08-01 01:33:09,TR-104,LT-002,236.16,8.41,1.806,0.909,49.963,1.34,NORMAL
252,2026-08-01 00:04:11,TR-104,LT-004,233.67,5.888,1.215,0.883,50.04,2.7,NORMAL
3974,2026-08-01 01:06:13,TR-103,LT-002,230.35,6.376,1.344,0.915,50.092,0.78,NORMAL
6631,2026-08-01 01:50:30,TR-101,LT-003,223.73,6.6,1.396,0.945,49.915,1.93,NORMAL
5548,2026-08-01 01:32:27,TR-101,LT-001,231.88,10.077,2.241,0.959,49.98,3.04,NORMAL
36,2026-08-01 00:00:35,TR-103,LT-006,225.12,11.971,2.609,0.968,50.009,2.16,NORMAL
8363,2026-08-01 00:06:02,TR-101,LT-004,158.01,13.73,1.97,0.908,49.955,9.53,WARNING
1514,2026-08-01 00:25:13,TR-101,LT-004,222.53,7.501,1.591,0.953,49.985,3.77,NORMAL
9318,2026-08-01 00:01:57,TR-103,LT-004,54.27,0.086,0.002,0.423,50.134,53.97,POSSIBLE_BROKEN_LT
40,2026-08-01 00:00:39,TR-104,LT-003,230.79,12.508,2.707,0.938,50.052,0.81,NORMAL
4820,2026-08-01 01:20:19,TR-101,LT-005,228.88,10.527,2.335,0.969,50.011,2.91,NORMAL
3466,2026-08-01 00:57:45,TR-102,LT-001,224.65,7.718,1.709,0.986,49.991,1.58,NORMAL
1761,2026-08-01 00:29:20,TR-101,LT-002,236.56,5.161,1.13,0.926,50.161,2.05,NORMAL
2305,2026-08-01 00:38:24,TR-102,LT-002,237.98,8.477,1.87,0.927,50.109,2.02,NORMAL
3724,2026-08-01 01:02:03,TR-103,LT-004,222.85,5.399,1.173,0.975,50.011,1.6,NORMAL
8285,2026-08-01 00:04:44,TR-104,LT-002,165.96,8.73,1.153,0.796,49.981,18.3,WARNING
4994,2026-08-01 01:23:13,TR-102,LT-001,232.27,3.39,0.754,0.957,50.085,3.26,NORMAL
8128,2026-08-01 00:02:07,TR-103,LT-006,182.52,12.792,1.983,0.849,49.942,7.41,WARNING
3033,2026-08-01 00:50:32,TR-103,LT-002,231.81,4.665,0.999,0.924,50.151,3.07,NORMAL
7939,2026-08-01 02:12:18,TR-104,LT-006,235.98,6.545,1.438,0.931,49.958,1.76,NORMAL
3040,2026-08-01 00:50:39,TR-102,LT-001,229.17,6.515,1.446,0.968,50.022,3.25,NORMAL
9656,2026-08-01 00:07:35,TR-101,LT-005,85.03,0.01,0.001,0.629,49.928,2.67,POSSIBLE_BROKEN_LT
2546,2026-08-01 00:42:25,TR-102,LT-005,231.73,8.897,2.052,0.995,49.993,0.43,NORMAL
2593,2026-08-01 00:43:12,TR-104,LT-003,229.83,7.838,1.687,0.936,50.024,0.17,NORMAL
1189,2026-08-01 00:19:48,TR-103,LT-006,232.2,7.822,1.637,0.901,49.863,2.7,NORMAL
7967,2026-08-01 02:12:46,TR-103,LT-002,234.12,7.214,1.552,0.919,49.865,1.1,NORMAL
6078,2026-08-01 01:41:17,TR-104,LT-001,226.42,9.119,1.974,0.956,49.928,3.28,NORMAL
108,2026-08-01 00:01:47,TR-104,LT-004,230.7,9.638,2.134,0.96,50.083,2.79,NORMAL
1316,2026-08-01 00:21:55,TR-104,LT-003,224.75,4.927,1.049,0.948,49.845,0.78,NORMAL
8188,2026-08-01 00:03:07,TR-101,LT-001,198.76,9.292,1.588,0.86,50.024,10.25,WARNING
2754,2026-08-01 00:45:53,TR-102,LT-006,229.4,5.75,1.238,0.939,50.017,0.91,NORMAL
9754,2026-08-01 00:09:13,TR-104,LT-004,57.0,0.269,0.004,0.268,50.012,33.31,POSSIBLE_BROKEN_LT
6232,2026-08-01 01:43:51,TR-103,LT-002,228.55,7.596,1.618,0.932,49.968,1.66,NORMAL
2877,2026-08-01 00:47:56,TR-104,LT-002,226.25,9.334,1.957,0.927,50.048,2.16,NORMAL
5324,2026-08-01 01:28:43,TR-102,LT-004,230.84,8.036,1.75,0.943,49.848,0.78,NORMAL
